epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,0.98794,0.50815,1.0135,0.80513,0.72636,0.77349,0.5138,0.98007,0.46825,1.0297,0.004951,0.004951,0.004951
105,0.99384,0.50513,1.0174,0.79746,0.73019,0.77293,0.51328,0.9797,0.46807,1.0297,0.0049015,0.0049015,0.0049015
106,1.0059,0.51014,1.0255,0.7937,0.73365,0.7722,0.51339,0.9792,0.46786,1.0296,0.004852,0.004852,0.004852
107,1.0004,0.50668,1.0192,0.80215,0.72793,0.77169,0.51383,0.97861,0.46768,1.0294,0.0048025,0.0048025,0.0048025
108,0.98393,0.50662,1.0234,0.80434,0.72242,0.77225,0.51474,0.97853,0.46779,1.0295,0.004753,0.004753,0.004753
109,0.98954,0.5014,1.0199,0.80286,0.72424,0.77214,0.51517,0.97808,0.46759,1.0294,0.0047035,0.0047035,0.0047035
110,0.96668,0.49728,1.007,0.79365,0.73211,0.77192,0.51502,0.97783,0.46774,1.0292,0.004654,0.004654,0.004654
111,0.98312,0.49314,1.0108,0.7929,0.73179,0.77227,0.51542,0.97794,0.46753,1.0291,0.0046045,0.0046045,0.0046045
112,0.98544,0.50287,1.0184,0.79609,0.73129,0.77233,0.51535,0.97785,0.4673,1.0291,0.004555,0.004555,0.004555
113,0.96165,0.49055,1.0141,0.78814,0.73449,0.77254,0.51534,0.97762,0.46719,1.0291,0.0045055,0.0045055,0.0045055
114,0.97528,0.48825,1.0078,0.79259,0.7315,0.77221,0.51519,0.97744,0.46702,1.0291,0.004456,0.004456,0.004456
115,0.95446,0.48346,1.0053,0.79482,0.7307,0.77216,0.51597,0.97733,0.46697,1.0291,0.0044065,0.0044065,0.0044065
116,0.97098,0.48909,1.0125,0.79671,0.72937,0.77216,0.51638,0.97733,0.46687,1.0292,0.004357,0.004357,0.004357
117,0.9741,0.49201,1.0035,0.79115,0.73666,0.77204,0.51676,0.97701,0.46688,1.0292,0.0043075,0.0043075,0.0043075
118,0.9734,0.48736,1.0013,0.79057,0.73486,0.77144,0.51647,0.97671,0.4665,1.029,0.004258,0.004258,0.004258
119,0.95774,0.48575,1.0143,0.79169,0.7348,0.77157,0.51665,0.97648,0.46628,1.029,0.0042085,0.0042085,0.0042085
120,0.96141,0.48411,1.0133,0.79246,0.73492,0.77179,0.51648,0.97655,0.46615,1.0289,0.004159,0.004159,0.004159
121,0.96031,0.48776,1.0067,0.79264,0.73524,0.77122,0.51679,0.97641,0.46604,1.0288,0.0041095,0.0041095,0.0041095
122,0.97991,0.49053,1.0067,0.79175,0.73536,0.77137,0.51684,0.97611,0.46592,1.0287,0.00406,0.00406,0.00406
123,0.95332,0.48382,1.0129,0.79368,0.73345,0.77144,0.5165,0.97582,0.46596,1.0287,0.0040105,0.0040105,0.0040105
124,0.94804,0.48119,0.99282,0.79498,0.73332,0.77177,0.51628,0.9755,0.46562,1.0286,0.003961,0.003961,0.003961
125,0.95507,0.47965,1.0111,0.79585,0.73395,0.7726,0.51685,0.97548,0.46514,1.0287,0.0039115,0.0039115,0.0039115
126,0.95055,0.48172,0.99853,0.79711,0.7335,0.77264,0.51748,0.97551,0.46528,1.0287,0.003862,0.003862,0.003862
127,0.94787,0.47641,1.0015,0.79724,0.73358,0.7717,0.51722,0.97521,0.46502,1.0286,0.0038125,0.0038125,0.0038125
128,0.93026,0.46732,0.99628,0.79783,0.73344,0.77138,0.5171,0.97482,0.4647,1.0285,0.003763,0.003763,0.003763
129,0.94609,0.47788,0.99841,0.79745,0.73393,0.77158,0.51753,0.97483,0.46465,1.0286,0.0037135,0.0037135,0.0037135
130,0.95971,0.4785,0.99806,0.7946,0.73555,0.772,0.51756,0.97454,0.46455,1.0285,0.003664,0.003664,0.003664
131,0.96093,0.47764,1.01,0.79578,0.73662,0.77253,0.51771,0.97431,0.46419,1.0285,0.0036145,0.0036145,0.0036145
132,0.93722,0.47152,0.99702,0.79608,0.73709,0.77269,0.51819,0.97428,0.46415,1.0285,0.003565,0.003565,0.003565
133,0.93791,0.4736,0.98807,0.79724,0.73664,0.77297,0.51747,0.97423,0.4642,1.0285,0.0035155,0.0035155,0.0035155
134,0.943,0.47555,1.0025,0.79826,0.73645,0.77285,0.51784,0.97414,0.46374,1.0284,0.003466,0.003466,0.003466
135,0.94341,0.48027,1.0009,0.79886,0.73663,0.77282,0.51776,0.97414,0.4635,1.0284,0.0034165,0.0034165,0.0034165
136,0.92265,0.46336,0.993,0.79961,0.73599,0.77294,0.51761,0.97396,0.46324,1.0284,0.003367,0.003367,0.003367
137,0.93783,0.46687,0.98945,0.80061,0.73531,0.77308,0.51746,0.97454,0.46315,1.0291,0.0033175,0.0033175,0.0033175
138,0.92857,0.461,0.99558,0.79941,0.73696,0.773,0.51743,0.97414,0.46298,1.0291,0.003268,0.003268,0.003268
139,0.92292,0.46008,0.99021,0.80046,0.73488,0.77328,0.51698,0.97395,0.46268,1.029,0.0032185,0.0032185,0.0032185
140,0.93118,0.46444,0.99063,0.79991,0.735,0.77245,0.51702,0.974,0.46273,1.029,0.003169,0.003169,0.003169
141,0.92717,0.45889,0.98926,0.80228,0.73023,0.77257,0.51697,0.97368,0.46259,1.0284,0.0031195,0.0031195,0.0031195
142,0.92091,0.45723,0.98742,0.80159,0.72896,0.77246,0.51713,0.97379,0.46241,1.0284,0.00307,0.00307,0.00307
143,0.92925,0.46994,0.99547,0.80117,0.73243,0.77365,0.51739,0.97365,0.46209,1.0284,0.0030205,0.0030205,0.0030205
144,0.92534,0.46031,0.99248,0.80333,0.72859,0.77365,0.51779,0.97336,0.46197,1.0283,0.002971,0.002971,0.002971
