epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,0.88098,0.43707,0.9205,0.80816,0.74056,0.78272,0.53003,0.95544,0.45438,0.96769,0.0027235,0.0027235,0.0027235
150,0.87497,0.43737,0.91956,0.80606,0.7406,0.7827,0.53079,0.95549,0.45493,0.96772,0.002674,0.002674,0.002674
151,0.88567,0.44007,0.92757,0.80711,0.74074,0.78239,0.53107,0.95532,0.45476,0.96767,0.0026245,0.0026245,0.0026245
152,0.87606,0.43994,0.92206,0.80853,0.74017,0.78256,0.53134,0.9552,0.45487,0.96769,0.002575,0.002575,0.002575
153,0.87345,0.43665,0.92221,0.80755,0.74026,0.78271,0.53148,0.95505,0.45533,0.96757,0.0025255,0.0025255,0.0025255
154,0.86223,0.43171,0.9195,0.80893,0.74035,0.7827,0.53133,0.95492,0.45499,0.96753,0.002476,0.002476,0.002476
155,0.86449,0.42907,0.92042,0.80794,0.74096,0.78278,0.53118,0.95479,0.45444,0.96739,0.0024265,0.0024265,0.0024265
156,0.85823,0.4273,0.91609,0.81843,0.73253,0.78278,0.53129,0.9546,0.45432,0.96739,0.002377,0.002377,0.002377
157,0.87312,0.43574,0.91936,0.81861,0.73238,0.78274,0.531,0.95455,0.45438,0.9673,0.0023275,0.0023275,0.0023275
158,0.86264,0.42888,0.91442,0.81637,0.73175,0.7822,0.53095,0.95457,0.45438,0.96727,0.002278,0.002278,0.002278
159,0.85901,0.42738,0.92186,0.81674,0.73241,0.78284,0.53103,0.95449,0.45468,0.96722,0.0022285,0.0022285,0.0022285
160,0.85875,0.43097,0.92017,0.8156,0.73259,0.78324,0.53114,0.95431,0.45471,0.96722,0.002179,0.002179,0.002179
161,0.84917,0.41849,0.90949,0.81512,0.73223,0.78296,0.53144,0.95389,0.45452,0.96712,0.0021295,0.0021295,0.0021295
162,0.8444,0.41978,0.90927,0.81488,0.73325,0.78322,0.53165,0.9538,0.45482,0.96702,0.00208,0.00208,0.00208
163,0.8561,0.4255,0.91632,0.8186,0.73148,0.78304,0.53158,0.95362,0.45466,0.967,0.0020305,0.0020305,0.0020305
164,0.8622,0.42529,0.91767,0.81995,0.73097,0.78311,0.53125,0.9534,0.45455,0.96697,0.001981,0.001981,0.001981
165,0.85497,0.42028,0.9106,0.81898,0.73093,0.78317,0.53097,0.95333,0.45449,0.96699,0.0019315,0.0019315,0.0019315
166,0.83845,0.41904,0.91035,0.81755,0.72994,0.78217,0.53096,0.95323,0.45447,0.967,0.001882,0.001882,0.001882
167,0.84644,0.41795,0.90571,0.81848,0.73055,0.78291,0.53056,0.95332,0.45464,0.96705,0.0018325,0.0018325,0.0018325
168,0.83897,0.41448,0.90948,0.82032,0.73016,0.78425,0.53046,0.95318,0.45442,0.96694,0.001783,0.001783,0.001783
169,0.83393,0.41968,0.911,0.82028,0.73105,0.78461,0.53107,0.95302,0.45448,0.96689,0.0017335,0.0017335,0.0017335
170,0.84121,0.41522,0.90904,0.82011,0.73177,0.78474,0.53086,0.95291,0.45435,0.96691,0.001684,0.001684,0.001684
171,0.83164,0.41237,0.90399,0.82048,0.73075,0.78426,0.53124,0.95291,0.45395,0.967,0.0016345,0.0016345,0.0016345
172,0.83633,0.41124,0.90438,0.82119,0.7307,0.78457,0.53116,0.953,0.45393,0.96701,0.001585,0.001585,0.001585
173,0.82644,0.40762,0.9023,0.81966,0.7299,0.78412,0.53176,0.95304,0.45369,0.96705,0.0015355,0.0015355,0.0015355
174,0.83919,0.41298,0.90904,0.82041,0.72985,0.78415,0.53242,0.95277,0.45342,0.96704,0.001486,0.001486,0.001486
175,0.83021,0.41237,0.90626,0.81343,0.73683,0.78424,0.53257,0.95267,0.45343,0.96702,0.0014365,0.0014365,0.0014365
176,0.82861,0.40371,0.90666,0.82027,0.73079,0.78418,0.53327,0.95264,0.45326,0.96702,0.001387,0.001387,0.001387
177,0.828,0.4054,0.89936,0.8158,0.7353,0.78537,0.53279,0.95274,0.45309,0.96709,0.0013375,0.0013375,0.0013375
178,0.82157,0.40404,0.89876,0.82139,0.73093,0.78475,0.53318,0.95241,0.45308,0.967,0.001288,0.001288,0.001288
179,0.81764,0.40094,0.90318,0.82366,0.73083,0.78538,0.53324,0.95263,0.4531,0.96706,0.0012385,0.0012385,0.0012385
180,0.82108,0.40407,0.90087,0.82318,0.73085,0.78493,0.53313,0.95265,0.45299,0.96699,0.001189,0.001189,0.001189
181,0.80351,0.39796,0.89506,0.82944,0.72736,0.78508,0.53308,0.95267,0.45305,0.96702,0.0011395,0.0011395,0.0011395
182,0.82217,0.40575,0.90205,0.82916,0.72721,0.78494,0.53296,0.95284,0.45323,0.96705,0.00109,0.00109,0.00109
183,0.79713,0.39698,0.8979,0.83043,0.72674,0.78468,0.5331,0.95324,0.45345,0.96713,0.0010405,0.0010405,0.0010405
184,0.80733,0.40248,0.89925,0.83049,0.72711,0.785,0.53331,0.953,0.45333,0.96703,0.000991,0.000991,0.000991
185,0.79448,0.38911,0.89402,0.83112,0.72694,0.78496,0.53327,0.95326,0.45344,0.96702,0.0009415,0.0009415,0.0009415
186,0.79402,0.39072,0.89614,0.83459,0.7249,0.78504,0.53337,0.95335,0.45371,0.96702,0.000892,0.000892,0.000892
187,0.81525,0.40215,0.90886,0.83072,0.7268,0.78519,0.53362,0.95341,0.45379,0.96706,0.0008425,0.0008425,0.0008425
188,0.80537,0.40439,0.89919,0.83603,0.72405,0.78523,0.5332,0.95352,0.45384,0.96712,0.000793,0.000793,0.000793
189,0.80001,0.39534,0.89554,0.83024,0.72659,0.78544,0.53355,0.95357,0.45385,0.96718,0.0007435,0.0007435,0.0007435
190,0.79584,0.39129,0.8973,0.83069,0.72774,0.78542,0.53305,0.95347,0.45375,0.96711,0.000694,0.000694,0.000694
191,0.77066,0.3696,0.8864,0.83238,0.72656,0.78502,0.53308,0.95374,0.45376,0.96715,0.0006445,0.0006445,0.0006445
192,0.76646,0.36621,0.88799,0.82967,0.72653,0.78535,0.5331,0.95386,0.45377,0.9672,0.000595,0.000595,0.000595
193,0.77231,0.36671,0.88659,0.82825,0.72858,0.78574,0.53322,0.95381,0.45389,0.96722,0.0005455,0.0005455,0.0005455
194,0.75593,0.36437,0.88245,0.82994,0.72761,0.78565,0.53364,0.95404,0.45401,0.96728,0.000496,0.000496,0.000496
195,0.76029,0.36261,0.87639,0.84034,0.72496,0.786,0.53312,0.95409,0.4541,0.96734,0.0004465,0.0004465,0.0004465
196,0.74962,0.35963,0.88057,0.83971,0.72474,0.78573,0.53291,0.95395,0.45415,0.96739,0.000397,0.000397,0.000397
197,0.75223,0.36088,0.88295,0.83369,0.72664,0.78583,0.53282,0.95447,0.45438,0.96757,0.0003475,0.0003475,0.0003475
198,0.75366,0.35751,0.8815,0.83417,0.72667,0.78547,0.53287,0.95458,0.45471,0.96765,0.000298,0.000298,0.000298
